ROW_ID,ORDER_ID,ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,PRODUCT_ID,SALES,QUANTITY,DISCOUNT,PROFIT,ID_EMPLOYEE
26,CA-2016-121755,16/1/2016,20/1/2016,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224,8
27,CA-2016-121755,16/1/2016,20/1/2016,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0,11.7741,8
28,US-2015-150630,17/9/2015,21/9/2015,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,8
29,US-2015-150630,17/9/2015,21/9/2015,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532,7
30,US-2015-150630,17/9/2015,21/9/2015,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525,8
31,US-2015-150630,17/9/2015,21/9/2015,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016,6
32,US-2015-150630,17/9/2015,21/9/2015,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092,6
33,US-2015-150630,17/9/2015,21/9/2015,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715,8
34,US-2015-150630,17/9/2015,21/9/2015,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546,6
35,CA-2017-107727,19/10/2017,23/10/2017,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468,6
36,CA-2016-117590,8/12/2016,10/12/2016,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737,7
37,CA-2016-117590,8/12/2016,10/12/2016,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963,8
38,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415,4
39,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764,1
40,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147,8
41,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564,7
42,CA-2017-120999,10/9/2017,15/9/2017,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564,6
43,CA-2016-101343,17/7/2016,22/7/2016,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0,3.894,6
44,CA-2017-139619,19/9/2017,23/9/2017,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616,9
45,CA-2016-118255,11/3/2016,13/3/2016,First Class,ON-18715,TEC-AC-10000171,45.98,2,0,19.7714,7
46,CA-2016-118255,11/3/2016,13/3/2016,First Class,ON-18715,OFF-BI-10003291,17.46,2,0,8.2062,3
47,CA-2014-146703,20/10/2014,25/10/2014,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0,8.4784,6
48,CA-2016-169194,20/6/2016,25/6/2016,Standard Class,LH-16900,TEC-AC-10002167,45,3,0,4.95,3
49,CA-2016-169194,20/6/2016,25/6/2016,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0,6.104,6
50,CA-2015-115742,18/4/2015,22/4/2015,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0,17.9634,6
51,CA-2015-115742,18/4/2015,22/4/2015,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0,35.3346,2
52,CA-2015-115742,18/4/2015,22/4/2015,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0,2.9568,7
53,CA-2015-115742,18/4/2015,22/4/2015,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0,17.0981,6
54,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0,6.2566,7
55,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0,298.6855,8
56,CA-2016-111682,17/6/2016,18/6/2016,First Class,TB-21055,OFF-ST-10000604,208.56,6,0,52.14,9
57,CA-2016-111682,17/6/2016,18/6/2016,First Class,TB-21055,OFF-PA-10001569,32.4,5,0,15.552,4
58,CA-2016-111682,17/6/2016,18/6/2016,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098,7
59,CA-2016-111682,17/6/2016,18/6/2016,First Class,TB-21055,OFF-PA-10000587,14.56,2,0,6.9888,4
60,CA-2016-111682,17/6/2016,18/6/2016,First Class,TB-21055,TEC-AC-10002167,30,2,0,3.3,8
61,CA-2016-111682,17/6/2016,18/6/2016,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362,7
62,CA-2016-111682,17/6/2016,18/6/2016,First Class,TB-21055,OFF-AR-10001868,1.68,1,0,0.84,7
63,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0,6.1512,1
64,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612,4
65,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0,68.9631,6
66,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0,22.3328,4
67,US-2015-164175,30/4/2015,5/5/2015,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225,8
68,CA-2014-106376,5/12/2014,10/12/2014,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024,6
69,CA-2014-106376,5/12/2014,10/12/2014,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988,6
70,CA-2016-119823,4/6/2016,6/6/2016,First Class,KD-16270,OFF-PA-10000482,75.88,2,0,35.6636,5
71,CA-2016-106075,18/9/2016,23/9/2016,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731,8
72,CA-2017-114440,14/9/2017,17/9/2017,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0,8.763,8
73,US-2015-134026,26/4/2015,2/5/2015,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912,9
74,US-2015-134026,26/4/2015,2/5/2015,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213,8
75,US-2015-134026,26/4/2015,2/5/2015,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196,7
76,US-2017-118038,9/12/2017,11/12/2017,First Class,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344,9
77,US-2017-118038,9/12/2017,11/12/2017,First Class,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248,4
78,US-2017-118038,9/12/2017,11/12/2017,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724,6
79,US-2014-147606,26/11/2014,1/12/2014,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475,6
80,CA-2016-127208,12/6/2016,15/6/2016,First Class,SC-20770,OFF-AP-10002118,208.16,1,0,56.2032,4
81,CA-2016-127208,12/6/2016,15/6/2016,First Class,SC-20770,OFF-BI-10002309,16.74,3,0,8.0352,7
82,CA-2014-139451,12/10/2014,16/10/2014,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0,4.172,9
83,CA-2014-139451,12/10/2014,16/10/2014,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0,6.2031,5
84,CA-2015-149734,3/9/2015,8/9/2015,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075,9
85,US-2017-119662,13/11/2017,16/11/2017,First Class,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549,8
86,CA-2017-140088,28/5/2017,30/5/2017,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0,33.2156,6
87,CA-2017-155558,26/10/2017,2/11/2017,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0,6.7966,7
88,CA-2017-155558,26/10/2017,2/11/2017,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,0,2.9568,7
89,CA-2016-159695,5/4/2016,10/4/2016,Second Class,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572,5
90,CA-2016-109806,17/9/2016,22/9/2016,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,0,6.633,9
91,CA-2016-109806,17/9/2016,22/9/2016,Standard Class,JS-15685,TEC-PH-10004093,73.584,2,0.2,8.2782,1
92,CA-2016-109806,17/9/2016,22/9/2016,Standard Class,JS-15685,OFF-PA-10000304,6.48,1,0,3.1104,8
93,CA-2015-149587,31/1/2015,5/2/2015,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0,6.2208,6
94,CA-2015-149587,31/1/2015,5/2/2015,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0,16.5354,5
95,CA-2015-149587,31/1/2015,5/2/2015,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0,16.1504,1
96,US-2017-109484,6/11/2017,12/11/2017,Standard Class,RB-19705,OFF-BI-10004738,5.682,1,0.7,-3.788,8
97,CA-2017-161018,9/11/2017,11/11/2017,Second Class,PN-18775,FUR-FU-10000629,96.53,7,0,40.5426,8
98,CA-2017-157833,17/6/2017,20/6/2017,First Class,KD-16345,OFF-BI-10001721,51.312,3,0.2,17.9592,8
99,CA-2016-149223,6/9/2016,11/9/2016,Standard Class,ER-13855,OFF-AP-10000358,77.88,6,0,22.5852,5
100,CA-2016-158568,29/8/2016,2/9/2016,Standard Class,RB-19465,OFF-PA-10003256,64.624,7,0.2,22.6184,8
101,CA-2016-158568,29/8/2016,2/9/2016,Standard Class,RB-19465,TEC-AC-10001767,95.976,3,0.2,-10.7973,5
102,CA-2016-158568,29/8/2016,2/9/2016,Standard Class,RB-19465,OFF-BI-10002609,1.788,3,0.8,-3.0396,8
103,CA-2016-129903,1/12/2016,4/12/2016,Second Class,GZ-14470,OFF-PA-10004040,23.92,4,0,11.7208,8
104,US-2015-156867,13/11/2015,17/11/2015,Standard Class,LC-16870,TEC-AC-10001552,238.896,6,0.2,-26.8758,4
105,US-2015-156867,13/11/2015,17/11/2015,Standard Class,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.8385,7
106,US-2015-156867,13/11/2015,17/11/2015,Standard Class,LC-16870,OFF-BI-10002794,36.882,3,0.7,-25.8174,7
107,CA-2017-119004,23/11/2017,28/11/2017,Standard Class,JM-15250,TEC-AC-10003499,74.112,8,0.2,17.6016,6
108,CA-2017-119004,23/11/2017,28/11/2017,Standard Class,JM-15250,TEC-PH-10002844,27.992,1,0.2,2.0994,6
109,CA-2017-119004,23/11/2017,28/11/2017,Standard Class,JM-15250,OFF-AR-10000390,3.304,1,0.2,1.0738,6
110,CA-2015-129476,15/10/2015,20/10/2015,Standard Class,PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992,5
111,CA-2017-146780,25/12/2017,30/12/2017,Standard Class,CV-12805,FUR-FU-10001934,41.96,2,0,10.9096,9
112,CA-2016-128867,3/11/2016,10/11/2016,Standard Class,CL-12565,OFF-AR-10000380,75.96,2,0,22.788,9
113,CA-2016-128867,3/11/2016,10/11/2016,Standard Class,CL-12565,OFF-BI-10003981,27.24,6,0,13.3476,7
114,CA-2014-115259,25/8/2014,27/8/2014,Second Class,RC-19960,OFF-FA-10000621,40.096,14,0.2,14.5348,1
115,CA-2014-115259,25/8/2014,27/8/2014,Second Class,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.652,6
116,CA-2014-115259,25/8/2014,27/8/2014,Second Class,RC-19960,OFF-PA-10004965,23.976,3,0.2,7.4925,5
117,CA-2014-115259,25/8/2014,27/8/2014,Second Class,RC-19960,OFF-EN-10002504,130.464,6,0.2,44.0316,4
118,CA-2015-110457,2/3/2015,6/3/2015,Standard Class,DK-13090,FUR-TA-10001768,787.53,3,0,165.3813,2
119,US-2015-136476,5/4/2015,10/4/2015,Standard Class,GG-14650,OFF-BI-10003650,157.794,1,0.7,-115.7156,8
120,CA-2016-103730,12/6/2016,15/6/2016,First Class,SC-20725,FUR-FU-10002157,47.04,3,0,18.3456,1
121,CA-2016-103730,12/6/2016,15/6/2016,First Class,SC-20725,OFF-BI-10003910,30.84,4,0,13.878,5
122,CA-2016-103730,12/6/2016,15/6/2016,First Class,SC-20725,OFF-ST-10000777,226.56,6,0,63.4368,8
123,CA-2016-103730,12/6/2016,15/6/2016,First Class,SC-20725,OFF-EN-10002500,115.02,9,0,51.759,4
124,CA-2016-103730,12/6/2016,15/6/2016,First Class,SC-20725,TEC-PH-10003875,68.04,7,0,19.7316,9
125,US-2014-152030,26/12/2014,28/12/2014,Second Class,AD-10180,FUR-CH-10004063,600.558,3,0.3,-8.5794,8
126,US-2014-134614,20/9/2014,25/9/2014,Standard Class,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.682,6
127,US-2017-107272,5/11/2017,12/11/2017,Standard Class,TS-21610,OFF-BI-10003274,2.388,2,0.7,-1.8308,4
128,US-2017-107272,5/11/2017,12/11/2017,Standard Class,TS-21610,OFF-ST-10002974,243.992,7,0.2,30.499,8
129,US-2016-125969,6/11/2016,10/11/2016,Second Class,LS-16975,FUR-CH-10001146,81.424,2,0.2,-9.1602,6
130,US-2016-125969,6/11/2016,10/11/2016,Second Class,LS-16975,FUR-FU-10003773,238.56,3,0,26.2416,4
131,US-2017-164147,2/2/2017,5/2/2017,First Class,DW-13585,TEC-PH-10002293,59.97,5,0.4,-11.994,9
132,US-2017-164147,2/2/2017,5/2/2017,First Class,DW-13585,OFF-PA-10002377,78.304,2,0.2,29.364,1
133,US-2017-164147,2/2/2017,5/2/2017,First Class,DW-13585,OFF-FA-10002780,21.456,9,0.2,6.9732,6
134,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-PA-10001804,20.04,3,0,9.6192,8
135,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-PA-10001736,35.44,1,0,16.6568,8
136,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-AR-10001149,11.52,4,0,3.456,6
137,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-FA-10002988,4.02,2,0,1.9698,5
138,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-BI-10004781,76.176,3,0.2,26.6616,8
139,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-SU-10001218,65.88,6,0,18.4464,4
140,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,FUR-FU-10001706,43.12,14,0,20.6976,5
141,CA-2016-110366,5/9/2016,7/9/2016,Second Class,JD-15895,FUR-FU-10004848,82.8,2,0.2,10.35,5
142,CA-2017-106180,18/9/2017,23/9/2017,Standard Class,SH-19975,OFF-AR-10000940,8.82,3,0,2.3814,7
143,CA-2017-106180,18/9/2017,23/9/2017,Standard Class,SH-19975,OFF-EN-10004030,10.86,3,0,5.1042,6
144,CA-2017-106180,18/9/2017,23/9/2017,Standard Class,SH-19975,OFF-PA-10004327,143.7,3,0,68.976,5
145,CA-2017-155376,22/12/2017,27/12/2017,Standard Class,SG-20080,OFF-AP-10001058,839.43,3,0,218.2518,4
146,CA-2015-110744,7/9/2015,12/9/2015,Standard Class,HA-14920,OFF-ST-10003656,671.93,7,0,20.1579,7
147,CA-2014-110072,22/10/2014,28/10/2014,Standard Class,MG-17680,FUR-FU-10000521,93.888,4,0.2,12.9096,8
148,CA-2016-114489,5/12/2016,9/12/2016,Standard Class,JE-16165,TEC-PH-10000215,384.45,11,0,103.8015,1
149,CA-2016-114489,5/12/2016,9/12/2016,Standard Class,JE-16165,TEC-PH-10001448,149.97,3,0,5.9988,8
150,CA-2016-114489,5/12/2016,9/12/2016,Standard Class,JE-16165,FUR-CH-10000454,1951.84,8,0,585.552,6
151,CA-2016-114489,5/12/2016,9/12/2016,Standard Class,JE-16165,OFF-BI-10002735,171.55,5,0,80.6285,9
152,CA-2016-158834,13/3/2016,16/3/2016,First Class,TW-21025,OFF-AP-10000326,157.92,5,0.2,17.766,2
153,CA-2016-158834,13/3/2016,16/3/2016,First Class,TW-21025,TEC-PH-10001254,203.184,2,0.2,15.2388,7
154,CA-2015-124919,31/5/2015,2/6/2015,First Class,SP-20650,OFF-PA-10001950,58.38,7,0,26.271,8
155,CA-2015-124919,31/5/2015,2/6/2015,First Class,SP-20650,OFF-PA-10002254,105.52,4,0,48.5392,9
156,CA-2015-124919,31/5/2015,2/6/2015,First Class,SP-20650,OFF-ST-10001590,80.88,6,0,21.0288,3
157,CA-2015-118948,28/5/2015,3/6/2015,Standard Class,NK-18490,OFF-AR-10001547,6.63,3,0,1.7901,1
158,CA-2014-104269,1/3/2014,6/3/2014,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764,5
159,CA-2016-114104,20/11/2016,24/11/2016,Standard Class,NP-18670,OFF-LA-10002475,14.62,2,0,6.8714,6
160,CA-2016-114104,20/11/2016,24/11/2016,Standard Class,NP-18670,TEC-PH-10004536,944.93,7,0,236.2325,9
161,CA-2016-162733,11/5/2016,12/5/2016,First Class,TT-21070,OFF-PA-10002751,5.98,1,0,2.691,6
162,CA-2015-119697,28/12/2015,31/12/2015,Second Class,EM-13960,TEC-AC-10003657,54.384,2,0.2,1.3596,8
163,CA-2016-154508,16/11/2016,20/11/2016,Standard Class,RD-19900,OFF-EN-10001990,28.4,5,0,13.348,1
164,CA-2016-113817,7/11/2016,11/11/2016,Standard Class,MJ-17740,OFF-BI-10004002,27.68,2,0.2,9.688,4
165,CA-2014-139892,8/9/2014,12/9/2014,Standard Class,BM-11140,OFF-AR-10004441,9.936,3,0.2,2.7324,4
166,CA-2014-139892,8/9/2014,12/9/2014,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992,6
167,CA-2014-139892,8/9/2014,12/9/2014,Standard Class,BM-11140,OFF-ST-10000991,275.928,3,0.2,-58.6347,9
168,CA-2014-139892,8/9/2014,12/9/2014,Standard Class,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.858,1
169,CA-2014-139892,8/9/2014,12/9/2014,Standard Class,BM-11140,OFF-AR-10002656,32.064,6,0.2,6.8136,9
170,CA-2014-139892,8/9/2014,12/9/2014,Standard Class,BM-11140,OFF-AP-10002518,177.98,5,0.8,-453.849,6
171,CA-2014-139892,8/9/2014,12/9/2014,Standard Class,BM-11140,TEC-PH-10003931,143.976,3,0.2,8.9985,9
172,CA-2014-118962,5/8/2014,9/8/2014,Standard Class,CS-12130,OFF-PA-10000659,20.94,3,0,9.8418,4
173,CA-2014-118962,5/8/2014,9/8/2014,Standard Class,CS-12130,OFF-PA-10001144,110.96,2,0,53.2608,6
174,CA-2014-118962,5/8/2014,9/8/2014,Standard Class,CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259,9
175,US-2014-100853,14/9/2014,19/9/2014,Standard Class,JB-15400,OFF-AP-10000891,52.448,2,0.8,-131.12,6
176,US-2014-100853,14/9/2014,19/9/2014,Standard Class,JB-15400,OFF-LA-10003148,20.16,4,0.2,6.552,9
177,US-2017-152366,21/4/2017,25/4/2017,Second Class,SJ-20500,OFF-AP-10002684,97.264,4,0.8,-243.16,8
178,US-2015-101511,21/11/2015,23/11/2015,Second Class,JE-15745,FUR-CH-10004698,396.802,7,0.3,-11.3372,9
179,US-2015-101511,21/11/2015,23/11/2015,Second Class,JE-15745,OFF-SU-10002189,15.88,5,0.2,-3.7715,9
180,CA-2015-137225,15/12/2015,19/12/2015,Standard Class,JK-15640,OFF-AR-10001940,3.28,1,0,1.4104,8
181,CA-2014-166191,5/12/2014,9/12/2014,Second Class,DK-13150,OFF-ST-10003455,24.816,2,0.2,1.8612,2
182,CA-2014-166191,5/12/2014,9/12/2014,Second Class,DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395,2
183,CA-2014-158274,19/11/2014,24/11/2014,Second Class,RM-19675,TEC-PH-10003273,503.96,4,0,131.0296,1
184,CA-2014-158274,19/11/2014,24/11/2014,Second Class,RM-19675,TEC-PH-10004896,149.95,5,0,41.986,8
185,CA-2014-158274,19/11/2014,24/11/2014,Second Class,RM-19675,TEC-AC-10002345,29,2,0,7.25,8
186,CA-2016-105018,28/11/2016,2/12/2016,Standard Class,SK-19990,OFF-BI-10001890,7.16,2,0,3.4368,5
187,CA-2014-123260,26/8/2014,30/8/2014,Standard Class,FM-14290,TEC-AC-10002323,176.8,8,0,22.984,4
188,CA-2016-157000,16/7/2016,22/7/2016,Standard Class,AM-10360,OFF-ST-10001328,37.224,3,0.2,3.7224,6
189,CA-2016-157000,16/7/2016,22/7/2016,Standard Class,AM-10360,OFF-PA-10001950,20.016,3,0.2,6.255,9
190,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,FUR-BO-10002613,899.136,4,0.2,112.392,8
191,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,TEC-PH-10001552,71.76,6,0,20.0928,4
192,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,OFF-PA-10000061,51.84,8,0,24.8832,9
193,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,FUR-BO-10002545,626.352,3,0.2,46.9764,4
194,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,OFF-AR-10003514,19.9,5,0,6.567,6
195,CA-2015-131457,31/10/2015,6/11/2015,Standard Class,MZ-17515,OFF-EN-10001509,14.28,7,0,6.7116,2
196,CA-2014-140004,21/3/2014,25/3/2014,Standard Class,CB-12025,OFF-AR-10004685,7.408,2,0.2,1.2038,8
197,CA-2014-140004,21/3/2014,25/3/2014,Standard Class,CB-12025,OFF-AR-10004027,6.048,3,0.2,1.5876,6
198,CA-2017-107720,6/11/2017,13/11/2017,Standard Class,VM-21685,OFF-ST-10001414,46.26,3,0,12.0276,5
199,US-2017-124303,6/7/2017,13/7/2017,Standard Class,FH-14365,OFF-BI-10000343,2.946,2,0.7,-2.2586,8
200,US-2017-124303,6/7/2017,13/7/2017,Standard Class,FH-14365,OFF-PA-10002749,16.056,3,0.2,5.8203,7
201,CA-2017-105074,24/6/2017,29/6/2017,Standard Class,MB-17305,OFF-PA-10002666,21.744,3,0.2,6.795,9
202,CA-2014-133690,3/8/2014,5/8/2014,First Class,BS-11755,FUR-TA-10004289,218.75,2,0.5,-161.875,6
203,CA-2014-133690,3/8/2014,5/8/2014,First Class,BS-11755,OFF-AP-10003622,2.6,1,0.2,0.2925,9
204,US-2017-116701,17/12/2017,21/12/2017,Second Class,LC-17140,OFF-AP-10003217,66.284,2,0.8,-178.9668,6
205,CA-2017-126382,3/6/2017,7/6/2017,Standard Class,HK-14890,FUR-FU-10002960,35.168,7,0.2,9.6712,8
206,CA-2017-108329,9/12/2017,14/12/2017,Standard Class,LE-16810,TEC-PH-10001918,444.768,4,0.2,44.4768,7
207,CA-2017-135860,1/12/2017,7/12/2017,Standard Class,JH-15985,OFF-ST-10000642,83.92,4,0,5.8744,4
208,CA-2017-135860,1/12/2017,7/12/2017,Standard Class,JH-15985,TEC-PH-10001700,131.98,2,0,35.6346,9
209,CA-2017-135860,1/12/2017,7/12/2017,Standard Class,JH-15985,OFF-BI-10003274,15.92,4,0,7.4824,6
210,CA-2017-135860,1/12/2017,7/12/2017,Standard Class,JH-15985,OFF-FA-10000134,52.29,9,0,16.2099,6
211,CA-2017-135860,1/12/2017,7/12/2017,Standard Class,JH-15985,OFF-ST-10001522,91.99,1,0,3.6796,9
212,CA-2015-101007,9/2/2015,13/2/2015,Second Class,MS-17980,TEC-AC-10001266,20.8,2,0.2,6.5,4
213,CA-2015-146262,2/1/2015,9/1/2015,Standard Class,VW-21775,OFF-LA-10004544,23.68,2,0.2,8.88,5
214,CA-2015-146262,2/1/2015,9/1/2015,Standard Class,VW-21775,FUR-BO-10004695,452.45,5,0.5,-244.323,3
215,CA-2015-146262,2/1/2015,9/1/2015,Standard Class,VW-21775,TEC-PH-10002844,62.982,3,0.4,-14.6958,8
216,CA-2015-146262,2/1/2015,9/1/2015,Standard Class,VW-21775,TEC-MA-10000864,1188,9,0.7,-950.4,7
217,CA-2015-146262,2/1/2015,9/1/2015,Standard Class,VW-21775,TEC-AC-10000109,89.584,2,0.2,4.4792,7
218,CA-2016-130162,28/10/2016,1/11/2016,Standard Class,JH-15910,OFF-ST-10001328,93.06,6,0,26.0568,8
